=== Time stamp ===
[0.00s -> 18.48s] 看新聞開視野,歡迎收看今天9月10號的公視手語新聞。
[19.12s -> 24.78s] 首先來關心,高雄新達電廠,昨天晚間傳出火警。
[24.78s -> 29.96s] 所見火勢在半個小時左右撲滅,沒有傳出傷亡。
[31.06s -> 37.00s] 台電指出,其火的是新建機組,目前正處於測試階段。
[37.88s -> 43.44s] 火災沒有影響既有的機組運轉,也不會影響今年的整體供電狀況。
[44.48s -> 47.36s] 不過,這起事故也讓附近民眾嚇壞了。
[47.98s -> 51.64s] 地方里長要求台電全面停工,釐清責任。
[52.60s -> 54.64s] 台電董事長曾文生說明,
[55.34s -> 58.56s] 這場意外應該是天然氣洩漏造成。
[59.32s -> 66.28s] 上午9點,會先由施工處以及新達電廠廠長來向里長說明。
[71.12s -> 78.88s] 熊熊火光照亮夜空,還伴隨濃煙不斷竄出,不時還傳出爆炸聲響,讓廠區員工都頻頻後退。
[79.32s -> 83.84s] 火勢一發不可收拾,好幾公里外的民眾都錄下電廠大火的瞬間。
[84.78s -> 87.88s] 新達發電廠傳出火警嚇壞附近民眾。
[88.32s -> 103.92s] 熊熊說,不要緊,我就想說,就不然你落後,我們怎麼會那麼大聲,就像那個糖漿盲的這樣,我會緊張,我還想來給你看,那些都到有夠嚴重的。
[104.16s -> 113.36s] 9號晚間8點左右,高雄新達發電廠2號新機組要失運轉,疑似因為天然氣洩漏導致現場頻頻傳出爆炸聲,
[113.44s -> 114.76s] 也讓廠區陷入火災。
[114.94s -> 122.18s] 由於爆炸疑似與天然氣外洩有關,地方里長澎吉台電為及時通報,要求立即停工。
[122.56s -> 132.58s] 剛第一天完就說,差不多4點的時候就已經外洩,外洩的時候他應該聯絡我們所在地,結果他們都沒有聯絡。
[132.82s -> 135.78s] 我們目前要求就是在這裡,每個人都要先停工。
[135.94s -> 143.90s] 新達電廠原本是燃煤電廠,1998年增設5部燃氣渦輪發電機組,目前燃煤1、2號機已經除以,
[144.78s -> 152.46s] 備用電力設施,為了強化供電韌性,台電啟動燃氣機組更新改建計劃,在南側基地新設燃氣機組。
[152.66s -> 156.50s] 9號起火的位置就是施工中的新2號燃氣機組。
[156.70s -> 172.82s] 以目前的狀況,我們看到的情形是,確定他應該是引發火警的主要原因是天然氣洩漏,那今天我們在整個運轉測試的過程裡面,那個天然氣的管線是有哪個地方有可能有洩漏,
[173.02s -> 173.94s] 那今天我們在整個運轉測試的過程裡面,那個天然氣的管線是有哪個地方有可能有洩漏,
[173.94s -> 175.06s] 那今天我們在整個運轉測試的過程裡面,那個天然氣的管線是有哪個地方有可能有洩漏,
[175.26s -> 183.98s] 因為現在火場還是黑的,那也還不能夠收電,所以我們會等明天早上天亮,來做一個清楚的處理。
[184.18s -> 194.82s] 台電董事長曾文生凌晨到現場了解狀況,初步判斷因天然氣外洩導致起火,並排除人為因素,後續將召集相關單位釐清事故原因。
[195.02s -> 196.26s] 公視新聞綜合報導。
[198.26s -> 200.14s] 獨報時間,來看到。
[201.38s -> 202.74s] 自由時報報導。
[203.94s -> 211.46s] 中國政府封鎖了社群媒體,還有貪腐文化,都引發年輕人不滿,上街抗議。
[212.90s -> 219.32s] 警方射殺至少19名的抗議者後,首都加德滿都陷入混亂。
[220.72s -> 228.54s] 總理奧利昨天宣布辭職,但是未平息民怨,抗議運動持續升級。
[230.74s -> 231.94s] 中國時報市。
[231.94s -> 249.32s] 南韓現代汽車在美國喬治亞州的電池工廠,遭到美國移民單位大動作查緝,逮捕了300多名涉嫌在美國非法打工的韓國人,而此舉震驚國際。
[250.28s -> 256.06s] 目前,多家韓國企業已經暫停了22項在美國的建廠計劃。
[258.56s -> 259.88s] 聯合報提到了。
[260.84s -> 261.92s] 中央統籌分析。
[261.94s -> 264.74s] 台股昨天被稅款與補助款爭議延燒。
[265.98s -> 280.80s] 台中市長盧秀燕召集藍白與無黨籍絕證共15縣市首長,今天將要在台北市開記者會,呼籲中央公平公開分配。
[284.24s -> 287.74s] 而看完了報紙的重點之後,繼續再來關心。
[288.92s -> 291.18s] 台股昨天開紅盤。
[291.94s -> 306.02s] 盤中跟收盤都創歷史新高,中場收在24855點,總市值一口氣突破了80兆元,擠進全球股市規模第十大。
[307.88s -> 319.12s] 美股四大指數全面收紅,九號台股跟著創歷史新高,盤中拉高24880點,隨後漲勢收斂收在24855點,雙雙寫歷史記錄。
[319.54s -> 321.92s] 權值股台積電也同樣亮眼,收盤一起上升。
[321.94s -> 330.08s] 台股總市值同時衝破80兆元大關,成為全球股市規模第十大市場。
[330.08s -> 344.86s] 相關的傳產受到的衝擊影響就會比較大,那當然這就相對凸顯了,沒有受到對等關稅跟232影響的半導體跟AI供應鏈相對就會比較強勢。
[344.86s -> 351.42s] 法人分析本周半導體戰,蘋果公司新機發表等斗實力多,但美中晶片戰隱隱之下,
[351.94s -> 354.30s] 供應鏈重組,地緣政治風險加大。
[354.42s -> 360.08s] 華碩董事長施崇堂認為,今年是主權AI部署轉折點,台灣不能缺席。
[360.08s -> 371.92s] 我們不是參與這場變局的旁觀者,更應該成為可信任應用,垂直場域導入與AI治理實踐的貢獻者。
[371.96s -> 379.40s] 施崇堂認為,台灣擁有供應鏈完整與系統整合等優勢,可建立一個可信賴可落地的國家AI品牌,
[379.40s -> 391.24s] 因為主權AI就是各國或各單位獨立建立的人工智慧,並使用國民的資料、國家語言去練大型語言模型,符合國家價值觀,也保護資訊安全。
[391.24s -> 401.44s] 資料量好像就是到一個瓶頸上不去,大家都努力的投資算力,但是跟國際主流的這些AI的公司來比較之下,其實都還是差蠻多的。
[401.66s -> 405.34s] 那這個對我們發展主權AI來說的話,我們就會更實力。
[405.56s -> 409.24s] 受惠AI商機,財政部公布,8月出口金額統計達到500億元。
[409.24s -> 409.38s] 受惠AI商機,財政部公布,8月出口金額統計達到500億元。
[409.40s -> 439.38s] 受惠AI商機,財政部公布,8月出口金額統計達到500億元。
[439.38s -> 439.40s] 受惠AI商機,財政部公布,8月出口金額統計達到500億元。
[439.40s -> 439.54s] 受惠AI商機,財政部公布,8月出口金額統計達到500億元。
[439.54s -> 439.60s] 受惠AI商機,財政部公布,8月出口金額統計達到500億元。
[439.60s -> 450.40s] 周一才剛以7000萬元交保,但是台北地檢署不服,認為金華城岸還有重要證人尚未調查完畢。
[450.40s -> 450.48s] 周一才剛以7000萬元交保,但是台北地檢署不服,認為金華城岸還有重要證人尚未調查完畢。
[450.48s -> 451.38s] 周一才剛以7000萬元交保,但是台北地檢署不服,認為金華城岸還有重要證人尚未調查完畢。
[451.38s -> 454.32s] 而且柯文哲在交保之後
[454.32s -> 457.32s] 跟證人有所接觸
[457.32s -> 461.62s] 因此仍然有羈押的必要
[461.62s -> 467.30s] 所以在昨天傍晚已經提起抗告
[467.30s -> 469.40s] 交保後隔天再度重回法院
[469.40s -> 471.90s] 前民眾黨主席柯文哲被起訴的
[471.90s -> 474.14s] 金華城等案上午開庭審理
[474.14s -> 476.18s] 會擔心解放抗告嗎
[476.18s -> 477.88s] 9號的開庭終點同樣是
[477.88s -> 479.76s] 解問證人到庭作證的
[479.76s -> 482.06s] 前北市都委會委員徐國城
[482.06s -> 483.38s] 在偵查中曾說
[483.38s -> 484.76s] 大會通過的決議
[484.76s -> 486.30s] 擔任主席的彭政生
[486.30s -> 488.94s] 可以靜置決定委員指示背書
[488.94s -> 490.38s] 這次出庭說明
[490.38s -> 492.58s] 某種程度上是主席決定
[492.58s -> 494.70s] 但當時有問大家有無意見
[494.70s -> 496.18s] 沒人表示反對
[496.18s -> 498.22s] 而柯文哲僅簡短表示
[498.22s -> 499.46s] 對於證人說的
[499.46s -> 500.96s] 如果重來一次
[500.96s -> 502.60s] 不要再當都委會委員
[502.60s -> 503.98s] 讓他感觸很深
[507.88s -> 509.12s] 紅起來了
[509.12s -> 512.62s] 結果他們竟然還有那個臉面說
[512.62s -> 514.50s] 他們已經善盡了舉證責任
[514.50s -> 516.60s] 說他們要提抗告
[516.60s -> 517.66s] 結果呢
[517.66s -> 519.82s] 結果抗告的理由是什麼
[519.82s -> 521.74s] 到目前為止不知道
[521.74s -> 523.16s] 柯文哲8號交保後
[523.16s -> 525.40s] 質疑檢方偵辦根本查無不法
[525.40s -> 526.64s] 讓北檢發聲明
[526.64s -> 527.98s] 譴責混淆視聽
[527.98s -> 529.36s] 也將盡速抗告
[529.36s -> 530.68s] 再被民眾黨批評
[530.68s -> 532.36s] 檢方睜眼說瞎話
[532.36s -> 534.78s] 但柯文哲不只重話批檢察官
[534.78s -> 537.16s] 更把拋口對準總統賴清德
[537.88s -> 542.42s] 賴清德被點名讓台灣四分五裂
[542.42s -> 543.44s] 總統服從聲
[543.44s -> 544.76s] 不評論司法個案
[544.76s -> 547.26s] 但也不接受不是事實的抹黑
[547.26s -> 563.98s] 柯文哲被控的
[563.98s -> 565.66s] 金華城與政治陷阱案
[565.66s -> 567.14s] 週四將再次開庭
[567.14s -> 567.74s] 民眾黨
[567.74s -> 569.24s] 秘書長周瑜秀等人
[569.24s -> 570.50s] 都將到庭作證
[570.50s -> 572.14s] 全案未完待續
[572.14s -> 573.50s] 公視新聞特別報導
[597.74s -> 600.90s] 使用全民可以一起來參與運動
[600.90s -> 607.98s] 特任李楊為運動部部長
[607.98s -> 611.62s] 請院長頒授任命令
[611.62s -> 613.42s] 從行政院長卓榮泰手中
[613.42s -> 616.12s] 接下運動部長的任命令和印信
[616.12s -> 618.16s] 兩屆奧運羽球男雙金牌
[618.16s -> 620.96s] 30歲的李楊正式走馬上任
[620.96s -> 622.98s] 身為一位運動員
[622.98s -> 624.80s] 我熱愛挑戰
[624.80s -> 627.58s] 也喜歡和團隊一起贏得勝利
[627.74s -> 629.54s] 接下來的每一步
[629.54s -> 632.14s] 我都會秉持運動精神
[632.14s -> 634.94s] 用行動和大家一起打造
[634.94s -> 638.26s] 台灣運動新的里程碑
[638.26s -> 639.98s] 特別能體會運動員心聲
[639.98s -> 642.66s] 也清楚台灣運動發展各項挑戰
[642.66s -> 645.62s] 李楊強調未來運動部工作的六個面向
[645.62s -> 647.36s] 總統賴清德致詞強調
[647.36s -> 648.86s] 李楊已做好準備
[648.86s -> 650.72s] 行政院長卓榮泰期許李楊
[650.72s -> 653.54s] 是擦亮金字招牌的部長
[653.54s -> 656.86s] 我本人還有卓院長率領的行政團隊
[656.86s -> 656.94s] 我本人還有卓院長率領的行政團隊
[657.74s -> 658.74s] 我本人還有卓院長率領的行政團隊
[658.74s -> 661.04s] 一定鼎力支持李楊部長
[661.04s -> 663.34s] 萬事起頭難
[663.34s -> 672.42s] 再難都沒有得奧運金牌這麼難
[672.42s -> 674.62s] 而且他還可以得兩次
[674.62s -> 677.80s] 事實上李楊從步入會場前就略嫌緊張
[677.80s -> 679.66s] 但只要遇到有人向他致意
[679.66s -> 681.60s] 皆以笑臉鞠躬回應
[681.60s -> 683.74s] 聯訪時的狀態輕鬆許多
[683.74s -> 685.50s] 再次強調最先要做的
[685.50s -> 687.34s] 就是落實全民運動
[687.74s -> 690.88s] 非常希望說全民真的有運動的習慣
[690.88s -> 691.34s] 這件事情
[691.34s -> 693.58s] 我覺得像我自己就很喜歡打籃球
[693.58s -> 694.92s] 很喜歡打桌球
[694.92s -> 696.44s] 那我覺得包含我自己
[696.44s -> 698.28s] 不只是只有羽球有趣而已
[698.28s -> 701.08s] 我覺得每一項運動都有它有趣的地方
[701.08s -> 703.28s] 會擠出時間運動以身作則
[703.28s -> 706.00s] 而自己從國小到高中都是體育班
[706.00s -> 709.40s] 會和教育部討論如何完善體育班制度
[709.40s -> 712.04s] 畢竟我當時在參加體育班的時候
[712.04s -> 715.06s] 確實有遇到相當類似的案例
[715.06s -> 717.74s] 但我覺得我們未來會再跟
[717.74s -> 720.38s] 教育部這邊好好去進行溝通
[720.38s -> 721.54s] 運動部正式揭牌
[721.54s -> 724.48s] 明年度編列預算達到248億元
[724.48s -> 726.82s] 李洋說每一分錢都是納稅人的錢
[726.82s -> 729.32s] 一定要用在刀口上會特別把關
[729.32s -> 730.68s] 至於要到立院被尋
[730.68s -> 732.66s] 笑著說自己也沒經驗
[732.66s -> 734.36s] 會和次長們請教
[734.36s -> 738.92s] 公視新聞李小慧 沈志明 SNG台北報導
[738.92s -> 740.86s] 教師節就快到了
[740.86s -> 745.96s] 教育部將首度發放禁食禮券1000元
[745.96s -> 747.74s] 教育部所轄高中一級教育部所轄高中一級教育部所轄高中一級
[747.74s -> 750.62s] 以下的公司曆專任教師
[750.62s -> 754.22s] 代理教師都使用
[754.22s -> 755.88s] 相較去年
[755.88s -> 759.92s] 今年各縣市的禁食禮幾乎都增加
[759.92s -> 764.26s] 比如嘉義縣市去年是送賀卡一張
[764.26s -> 770.90s] 今年則是600元的禮券
[770.90s -> 773.16s] 配合禁食活動激勵教師士氣
[773.16s -> 775.30s] 及提升教師工作績效
[775.30s -> 776.56s] 教育部長鄭義耀8號
[776.56s -> 777.74s] 在教育部內部會議
[777.74s -> 778.88s] 拍板定案
[778.88s -> 780.94s] 比照公務人員激勵辦法
[780.94s -> 783.12s] 發放1000元教師禮券
[783.12s -> 784.54s] 教育部所轄高中以下
[784.54s -> 787.08s] 學校公司曆專任教師代理教師
[787.08s -> 787.74s] 適用
[787.74s -> 789.58s] 預估2400萬經費
[789.58s -> 791.58s] 2.4萬名老師受惠
[791.58s -> 793.18s] 只是一個聊表
[793.18s -> 796.72s] 我們對老師的一個謝意
[796.72s -> 797.80s] 因為老師們
[797.80s -> 799.70s] 我想要利用這個機會說
[799.70s -> 802.86s] 老師們你們在第一線上所有的付出
[802.86s -> 804.06s] 我們都看見了
[804.06s -> 806.90s] 教育部首次針對轄下學校發放禁食禮
[806.90s -> 807.58s] 全校總餘議員
[807.58s -> 807.72s] 教育部首次針對轄下學校發放禁食禮全校總餘議
[807.74s -> 808.22s] 肯定
[808.22s -> 811.18s] 但也提醒法務部管轄的矯正學校
[811.18s -> 813.60s] 以及國防部轄下的中正育校
[813.60s -> 814.66s] 不能被忽略
[814.66s -> 817.12s] 他面對的這些孩子
[817.12s -> 818.20s] 他當然是
[818.20s -> 820.18s] 可能跟一般的一個學生來講
[820.18s -> 822.32s] 他要負擔的一些教學輔導
[822.32s -> 824.12s] 各方面的壓力會更大
[824.12s -> 826.06s] 而今年各縣市的禁食禮
[826.06s -> 827.92s] 六都里台北市和新北市
[827.92s -> 830.68s] 維持去年的2000元和1000元禮券
[830.68s -> 832.52s] 桃園台中和高雄
[832.52s -> 834.90s] 從600條到1000元禮券
[834.90s -> 837.58s] 台南市從330條到600元禮券
[837.58s -> 839.04s] 其他縣市
[839.04s -> 840.54s] 宜蘭縣去年200元
[840.54s -> 841.84s] 今年600元禮券
[841.84s -> 844.18s] 嘉義縣市去年是禁食卡
[844.18s -> 845.84s] 今年是禮券600元
[845.84s -> 846.88s] 幾乎都加碼
[846.88s -> 848.58s] 但有基層教師說
[848.58s -> 850.62s] 更希望教育部和地方政府
[850.62s -> 852.70s] 解決目前面臨的困境
[852.70s -> 860.86s] 全校總也指出
[860.86s -> 862.36s] 在專屬教師的日子
[862.36s -> 863.38s] 教育主管機關
[863.38s -> 864.94s] 應有實際政策呼應
[864.94s -> 866.38s] 對教育專業的支持
[866.38s -> 867.42s] 而面對校舍的問題
[867.42s -> 868.46s] 教師會議亂象
[868.46s -> 869.84s] 更該扛起責任
[869.84s -> 872.50s] 才是給現場老師的較大支持
[872.50s -> 873.72s] 空市新聞理想會
[873.72s -> 875.04s] 沈志明台北報導
[897.42s -> 906.10s] 中文字幕 沈志明台
[927.42s -> 936.30s] 中文字幕 沈志明台
[936.30s -> 936.34s] 中文字幕 沈志明台
[936.34s -> 936.38s] 中文字幕 沈志明台
[936.38s -> 936.40s] 中文字幕 沈志明台
[936.40s -> 936.42s] 中文字幕 沈志明台
[936.42s -> 936.48s] 中文字幕 沈志明台
[936.48s -> 936.54s] 中文字幕 沈志明台
[936.54s -> 936.56s] 中文字幕 沈志明台
[936.56s -> 936.60s] 中文字幕 沈志明台
[936.60s -> 936.66s] 中文字幕 沈志明台
[936.66s -> 936.76s] 中文字幕 沈志明台
[936.76s -> 936.80s] 中文字幕 沈志明台
[936.80s -> 936.84s] 中文字幕 沈志明台
[936.84s -> 936.90s] 中文字幕 沈志明台
[936.90s -> 936.96s] 中文字幕 沈志明台
[936.96s -> 937.02s] 中文字幕 沈志明台
[937.02s -> 937.08s] 中文字幕 沈志明台
[937.08s -> 937.10s] 中文字幕 沈志明台
[937.10s -> 938.90s] 大概是参考国际的ISO
[938.90s -> 940.26s] 跟日本的GIS
[940.26s -> 943.94s] 两个大的一个图标系统来做设计
[943.94s -> 945.78s] 这个部分在国际上就叫做
[945.78s -> 947.96s] 内部障碍者
[947.96s -> 949.66s] 也就是所谓的隐形需求者
[949.66s -> 950.88s] 也就是我们对应法规
[950.88s -> 953.20s] 就是其他有需要者
[953.20s -> 955.06s] 交通部要求各大中运输业者
[955.06s -> 956.58s] 于年底前完成更换
[956.58s -> 958.38s] 若违者且限期未改善
[958.38s -> 959.90s] 最高可开罚五万元
[959.90s -> 961.50s] 另外考量有需求者
[961.50s -> 962.20s] 可能不好意思
[962.20s -> 964.08s] 或难以告诉他人需要座位
[964.08s -> 966.78s] 这次也设计了优先席需求贴纸
[966.78s -> 969.42s] 提供业者或旅客自行下载使用
[969.42s -> 972.32s] 台北捷运公司表示
[972.32s -> 974.28s] 近日将进行制作及更新
[974.28s -> 976.76s] 预计两个月完成全系统更新
[976.76s -> 978.62s] 并会加强人员广播提醒
[978.62s -> 979.92s] 配合月台跑马灯
[979.92s -> 981.60s] 海报等各种宣导管道
[981.60s -> 984.06s] 强化民众礼让精神与同理心
[984.06s -> 985.48s] 优先席新制上路
[985.48s -> 986.32s] 台铁表示
[986.32s -> 988.64s] 新车内部原本就为优先席字样
[988.64s -> 989.58s] 而到年底前
[989.58s -> 991.26s] 所有列车可以更新完成
[991.26s -> 993.28s] 而台湾高铁先前就已经将
[993.28s -> 994.86s] 原先不爱做文字标识
[994.86s -> 996.02s] 更换为优先席
